"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.034687320E-1,-2.586943626E0,-2.715083838E0,-1.558798313E0,4.061257164E0
7.113422670E-1,-2.082353115E0,-2.705548048E0,-2.158386707E0,4.039160546E0
7.192158020E-1,-1.626554012E0,-2.807354212E0,-3.244629622E0,4.588522312E0
7.271503730E-1,-1.264688015E0,-2.874630451E0,-3.568231583E0,4.753442188E0
7.350239080E-1,-1.113228798E0,-3.224192381E0,-3.349221468E0,4.780374390E0
7.429584780E-1,-9.009265900E-1,-3.442013502E0,-2.476234674E0,4.334843000E0
7.508014960E-1,-1.388348103E0,-3.655285835E0,-1.572551250E0,4.214444498E0
7.587055490E-1,-1.099453926E0,-3.629385471E0,5.842213154E0,6.965105338E0
7.667011540E-1,-1.535687923E0,-3.357693195E0,8.036628723E0,8.844198224E0
7.745746890E-1,-1.708273411E0,-3.179748058E0,8.510391235E0,9.244228185E0
7.825397770E-1,-2.766479015E0,-2.971049786E0,1.055448151E1,1.130829885E1
7.904438300E-1,-3.336376905E0,-2.871794462E0,1.052969933E1,1.141285162E1
7.983173650E-1,-3.164956808E0,-2.956974030E0,8.060443878E0,9.150486464E0
8.062519350E-1,-3.411168814E0,-3.101137161E0,8.130575180E0,9.346623836E0
8.141559880E-1,-2.873906374E0,-3.797350407E0,6.327027798E0,7.918995436E0
8.221515940E-1,-2.077630997E0,-4.299678802E0,4.672300816E0,6.680881923E0
8.300251290E-1,-7.045006752E-1,-4.764485359E0,-1.045365810E0,4.928430949E0
8.379291810E-1,1.645424843E0,-4.571941853E0,-1.102256966E1,1.204604155E1
8.458942690E-1,2.771721840E0,-2.156719446E0,-1.037325764E1,1.095163708E1
8.537983220E-1,3.521978378E0,-5.204696655E-1,-7.348273754E0,8.165313683E0
8.617023750E-1,4.040894985E0,-1.876968145E-1,-6.479001999E0,7.638162690E0
8.696064270E-1,4.378422260E0,-2.596704960E-1,-5.155186653E0,6.768601014E0
8.774799630E-1,4.085839748E0,-3.691118360E-1,-1.720012188E0,4.448457252E0
8.854145330E-1,3.923286438E0,-6.599761248E-1,2.173457146E0,4.533393974E0
8.933185860E-1,1.049643993E0,-4.541153908E-1,4.900971413E0,5.032642853E0
9.013141910E-1,-1.718626022E0,-4.073897600E-1,5.784116745E0,6.047780447E0
9.091877260E-1,-2.388682127E0,-3.598028123E-1,5.566480160E0,6.068027829E0
9.171528140E-1,-3.005680799E0,-2.532420754E-1,5.658936501E0,6.412629019E0
9.250873850E-1,-3.666212320E0,-5.226458907E-1,4.873151779E0,6.120611062E0
9.329304020E-1,-2.937787056E0,-4.285897017E-1,3.972111702E0,4.959027454E0
9.408954900E-1,-2.496058941E0,8.225202560E-2,3.837618828E0,4.578689103E0
9.487995430E-1,-1.586394310E0,-2.215134799E-1,3.397850037E0,3.756474411E0
9.566730780E-1,-7.276701927E-1,-9.959135056E-1,2.828685284E0,3.085904738E0
9.646076480E-1,-4.398956299E-1,-1.426648855E0,1.950472832E0,2.456253120E0
9.724811830E-1,3.857545853E-1,-1.340561271E0,2.999358177E-1,1.426840081E0
9.804462710E-1,7.578725815E-1,-4.676600695E-1,-8.282799721E-1,1.216192626E0
9.883198060E-1,-1.884136677E0,6.301413178E-1,-1.059389114E-1,1.989540688E0
9.961933420E-1,-1.826086044E0,6.384871006E-1,8.424210548E-1,2.109959538E0
1.004127912E0,-1.747979641E0,3.434693813E-2,2.917878151E0,3.401562206E0
1.012031965E0,-1.561880112E0,-2.727259398E-1,4.931237221E0,5.179859984E0
1.019966535E0,-1.550785065E0,-1.761804819E-1,5.819118977E0,6.024792075E0
1.027840070E0,-1.240360737E0,9.686589241E-2,5.754668713E0,5.887621740E0
1.035683088E0,-8.175225258E-1,1.180411577E-1,4.547821045E0,4.622223821E0
1.043648176E0,-3.423781395E-1,-1.390330791E-1,2.733056068E0,2.757924666E0
1.051521711E0,8.386964798E-1,-5.731260777E-1,4.958753586E-1,1.130388277E0
1.059547834E0,2.239885330E0,-8.861694336E-1,-5.870823860E-1,2.479324159E0
1.067451886E0,3.645206928E0,-1.080701113E0,-5.244350433E-1,3.838030818E0
1.075325422E0,5.209270954E0,-1.304053783E0,-8.594226837E-2,5.370702581E0
1.083229474E0,6.995024204E0,-1.061846256E0,6.980595589E-1,7.109512518E0
1.091103010E0,7.787827492E0,-6.929638386E-1,1.209556580E0,7.911604328E0
1.099129133E0,8.001752853E0,-1.265943050E-1,1.369975567E0,8.119169163E0
1.107002668E0,6.898402214E0,6.610357761E-1,1.521129608E0,7.094981092E0
1.114906720E0,4.330735683E0,1.175071239E0,2.038753986E0,4.928750531E0
1.122841291E0,1.388290882E0,1.545035362E0,3.063786507E0,3.701523146E0
1.130745344E0,-6.612577438E-1,1.846408844E0,4.112165451E0,4.555918362E0
1.138710431E0,-1.297134876E0,5.636494160E-1,3.082054138E0,3.391064326E0
1.146614484E0,9.744644165E-3,-2.175025940E-1,2.387737274E0,2.397642931E0
1.154488019E0,1.155946732E0,-4.794626236E-1,2.384366035E0,2.692823545E0
1.162392072E0,1.892401695E0,-7.193255424E-1,2.706115246E0,3.379596594E0
1.170296125E0,2.677064896E0,-1.172008038E0,2.884845257E0,4.106411018E0
1.178230695E0,3.267910480E0,-1.145316601E0,3.067317963E0,4.625951633E0
1.186134748E0,2.512379646E0,-8.110899925E-1,3.578438759E0,4.446925052E0
1.194008283E0,2.712046623E0,-4.934678078E-1,3.656763554E0,4.579369722E0
1.201942853E0,2.847756386E0,-3.165111542E-1,3.706068039E0,4.684531572E0
1.209846906E0,2.516173363E0,-4.719309807E-1,3.487726212E0,4.326439803E0
1.217781476E0,2.698832512E0,-8.944597244E-1,2.844236374E0,4.021621026E0
1.225685529E0,3.011941910E0,-1.119542599E0,1.965348721E0,3.766665009E0
1.233559064E0,3.282558441E0,-1.043595314E0,1.554995537E0,3.779192006E0
1.241493635E0,4.059238434E0,-8.770174980E-1,1.483671188E0,4.409972398E0
1.249397687E0,4.177740574E0,1.145830154E-1,1.977235317E0,4.623430011E0
1.257301740E0,5.635347843E0,1.564814329E0,-1.620138168E0,6.068825000E0
1.265236310E0,5.361523151E0,2.288497448E0,-5.840646744E0,8.252048561E0
1.273140363E0,3.233816624E0,1.138730526E0,-4.857945442E0,5.945915496E0
1.281105451E0,8.680357933E-1,2.464771271E-2,-2.410515308E0,2.562162700E0
1.289009504E0,-3.565654755E-1,-1.052244186E0,-6.673574448E-1,1.296041174E0
1.297035627E0,1.122027874E0,-1.804237843E0,9.971280098E-1,2.347016193E0
1.304970197E0,1.339599133E0,-1.382807255E0,2.421856403E0,3.093876238E0
1.312874250E0,9.298872948E-1,-6.628818512E-1,2.884672880E0,3.102489380E0
1.320839338E0,7.673506737E-1,-4.669127464E-1,2.801450968E0,2.941931694E0
1.328743390E0,8.066053391E-1,-6.082110405E-1,2.628562689E0,2.816003312E0
1.336677961E0,7.668919563E-1,-7.489089966E-1,2.416060209E0,2.643167587E0
1.344551496E0,6.900091171E-1,-8.267779350E-1,1.668783188E0,1.986079471E0
1.352425031E0,4.483208656E-1,-1.110163212E0,3.372843266E-1,1.243870842E0
1.360359601E0,-1.218552589E-1,-1.314057827E0,-1.525241375E0,2.016917928E0
1.368263654E0,-6.528540611E0,-2.115657806E0,-8.262010574E0,1.074051531E1
1.376198224E0,-2.120590210E1,-4.906712532E0,-1.658860970E1,2.736691585E1
1.384041242E0,-2.204424286E1,-5.022983074E0,-1.196243668E1,2.557887592E1
1.391945295E0,-1.275833702E1,-3.752520561E0,-7.469366074E0,1.525280314E1
1.399879865E0,7.056407928E0,-1.786112309E0,5.546355247E-2,7.279159721E0
1.407783918E0,1.238155556E1,-3.938674927E-4,4.847365856E0,1.329661137E1
1.415718488E0,1.155889130E1,1.136180878E0,3.998315096E0,1.228354178E1
1.423622541E0,6.321490765E0,3.042865515E0,2.927046299E0,7.601833730E0
1.431526594E0,4.575529099E0,2.838973999E0,3.862091064E0,6.626536598E0
1.439461164E0,4.527856350E0,1.251961231E0,5.015706062E0,6.872131937E0
1.447334699E0,4.473732471E0,1.179980755E0,5.398235798E0,7.109682590E0
1.455269269E0,2.837572098E0,4.473280907E-1,3.384041309E0,4.438879748E0
1.463142804E0,1.888025761E0,-5.282545090E-2,1.823266387E0,2.625210871E0
1.471016340E0,1.021066666E0,-1.392650604E-1,-7.010878325E-1,1.246393213E0
1.478950910E0,-1.260696888E0,-1.046114445E0,-3.030676842E0,3.445100027E0
1.486824445E0,-1.948775768E0,-6.371569633E-1,-4.885939598E0,5.298688682E0
1.494881086E0,-1.889466286E0,-5.833959579E-1,-4.103373528E0,4.555009110E0
1.502785138E0,-4.261794090E-1,-1.639509201E-2,-2.403656244E0,2.441200735E0
1.510658674E0,7.453460693E-1,3.190746307E-1,7.047761679E-1,1.074271302E0
1.518623761E0,1.795280457E0,7.274417877E-1,2.028849363E0,2.805072764E0
1.526497297E0,2.459764004E0,1.066823959E0,3.572726965E0,4.466870300E0
1.539345197E0,3.187979698E0,1.486380577E0,2.423650026E0,4.271606399E0
1.547218732E0,2.925316334E0,1.778522015E0,1.018198013E0,3.571742348E0
1.555153302E0,2.276501656E0,2.032867670E0,-2.420125008E-1,3.061630416E0
1.563057355E0,2.244169235E0,1.392742634E0,1.064475656E0,2.847654477E0
1.570961408E0,1.533375740E0,1.571602345E0,1.963088751E0,2.945317051E0
1.578865461E0,4.871568680E-1,2.293586969E0,1.256657839E0,2.660272904E0
1.586738996E0,-1.078300476E0,2.357966185E0,1.412876606E0,2.952787962E0
1.594673566E0,-3.228164673E0,1.733433008E0,1.709539413E0,4.043310791E0
1.602547101E0,-4.217977047E0,1.631737471E0,-3.183181763E0,5.530510255E0
1.610481672E0,-5.328685284E0,2.883949280E-1,-4.320660114E0,6.866306308E0
1.618355207E0,-2.147742271E0,1.910726547E0,-1.859422684E0,3.423612934E0
1.626320295E0,-3.439665318E0,2.515598536E0,2.023766935E-1,4.266203208E0
1.634315900E0,-1.872981548E0,2.691014290E0,1.013508320E0,3.431736718E0
1.642189435E0,-2.242734432E0,2.628324986E0,1.279128075E0,3.684307071E0
1.650185041E0,-1.671084881E0,2.448609114E0,3.685013056E-1,2.987307229E0
1.658058576E0,-1.198293209E0,2.181148052E0,-9.146406054E-1,2.651392253E0
1.665962629E0,-1.354759216E0,2.184051037E0,-2.005783796E0,3.260156454E0
1.673927717E0,-5.454382896E-1,2.357220411E0,-1.875644803E0,3.061377863E0
1.681770734E0,5.408449173E-1,1.786905766E0,-8.623793125E-1,2.056512465E0
1.689796857E0,2.663097382E-1,1.286775112E0,-1.315637589E0,1.859465872E0
1.697670392E0,8.476257324E-2,4.790086746E-1,-1.428401709E0,1.508961711E0
1.705543927E0,-3.645938396E0,-1.718649864E-1,-7.163561583E-1,3.719619673E0
1.713478498E0,-5.773065567E0,-8.899483681E-1,9.163342118E-1,5.912695031E0
1.721352033E0,-4.940387726E0,-5.812897682E-1,1.544139147E0,5.208617319E0
1.729256086E0,-1.024393559E0,3.766441345E-2,2.357530117E0,2.570748728E0
1.737190656E0,2.577011108E0,2.855086327E-1,3.272024632E0,4.174763062E0
1.745094709E0,4.071393013E0,5.398869514E-1,1.449022532E0,4.355156172E0
1.753090314E0,4.587292671E0,4.665913582E-1,-7.001765966E-1,4.663819123E0
1.760963849E0,5.185452461E0,4.201750755E-1,-2.159203053E0,5.632727771E0
1.768928937E0,3.865529060E0,-3.872308731E-1,-9.949342608E-1,4.010256457E0
1.776802472E0,9.998893738E-2,-2.294573784E0,1.107259274E0,2.549723463E0
1.784706525E0,-2.443752289E-1,-2.160662174E0,-8.477032185E-3,2.174454447E0
1.792641095E0,3.449135780E0,-1.122866154E0,-3.893272579E-1,3.648142232E0
1.800514631E0,8.420964241E0,5.642881393E-1,1.792139649E0,8.628025520E0
1.808510236E0,1.071261501E1,1.356034517E0,4.632293701E0,1.174977000E1
1.816383771E0,1.159711170E1,2.610664129E0,8.428771973E0,1.457232871E1
1.824318342E0,6.170055389E0,1.120668173E0,3.837912798E0,7.352214313E0
1.832283429E0,8.024243355E0,2.315607071E0,8.802717209E0,1.213418097E1
1.840187482E0,5.530660629E0,6.169199944E-1,7.082597256E0,9.007329302E0
1.848122052E0,2.710762024E-1,1.255139112E0,2.864724636E0,3.139347661E0
1.855965070E0,-3.994475842E0,-1.081688404E0,2.618567944E0,4.897222185E0
1.863869123E0,-3.467272758E0,1.102778435E0,7.227779627E-1,3.709515958E0
1.871834211E0,-1.072826481E1,-2.878360748E0,-6.999033451E0,1.312886498E1
1.879707746E0,-1.137263393E1,-8.800489902E-1,-5.347813606E0,1.259803156E1
1.887733869E0,-1.039597893E1,-1.509170532E-1,-6.654971600E0,1.234454539E1
1.895637922E0,-9.992210388E0,2.645831108E-1,-5.306150436E0,1.131677980E1
1.903511457E0,-8.879539490E0,6.016395092E-1,-4.168466091E0,9.827731234E0
1.911446027E0,-8.728452682E0,9.526813030E-1,-3.024210930E0,9.286513858E0
1.919350080E0,-8.369907379E0,9.003875256E-1,-1.822460651E0,8.613211367E0
1.927254133E0,-8.095638275E0,8.160328865E-1,-8.290302753E-2,8.137084347E0
1.935158185E0,-9.254647255E0,-1.113057137E-1,1.608904839E0,9.394118349E0
1.943031720E0,-9.482600212E0,-6.478414536E-1,1.162022829E0,9.575474003E0
1.950966291E0,-8.579320908E0,-1.071525097E0,-6.095862389E-1,8.667439567E0
1.958839826E0,-5.759847164E0,-1.324390888E0,-2.212888479E0,6.310841941E0
1.966774396E0,4.918699265E-1,-9.136548042E-1,-3.393953800E0,3.549031350E0
1.974678449E0,6.798707962E0,5.587244034E-2,-5.219911575E0,8.571640948E0
1.982551984E0,1.335516548E1,1.000056267E-1,-5.621138573E0,1.449026035E1
