"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
7,269009445E1;6,498799328E1;2,556076875E1;1,788387754E1;3,536279297E1;3,460000038E0;1,588000031E2;1,329352274E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,369154956E1;6,498796479E1;2,556079877E1;1,790124194E1;3,538018799E1;3,559999943E0;1,601000061E2;1,361440626E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,469013643E1;6,498793831E1;2,556082590E1;1,838003439E1;3,585900879E1;3,329999924E0;1,591000061E2;1,395324897E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,569383044E1;6,498791019E1;2,556085367E1;1,790576125E1;3,538476562E1;3,390000105E0;1,606000061E2;1,427281509E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,669604044E1;6,498788397E1;2,556088150E1;1,840414613E1;3,588317871E1;3,250000000E0;1,590000000E2;1,460648195E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,769474164E1;6,498785655E1;2,556091033E1;1,805298142E1;3,553204346E1;3,269999981E0;1,588999939E2;1,494388422E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,869505377E1;6,498782815E1;2,556093560E1;1,847507064E1;3,595416260E1;3,230000019E0;1,623999939E2;1,527426012E-1;3,790092468E0;2,500000000E0;4,000000000E1
7,969068440E1;6,498780019E1;2,556095937E1;1,890393538E1;3,638305664E1;3,210000038E0;1,595000000E2;1,561840962E-1;3,790092468E0;2,500000000E0;4,000000000E1
8,068988518E1;6,498777130E1;2,556098563E1;1,884891220E1;3,632806396E1;3,400000095E0;1,588999939E2;1,596053707E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,169227565E1;6,498774260E1;2,556101186E1;1,914270512E1;3,662188721E1;3,299999952E0;1,603999939E2;1,630363133E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,269341283E1;6,498771333E1;2,556103495E1;1,839096568E1;3,587017822E1;3,359999895E0;1,593999939E2;1,663992460E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,369400236E1;6,498768422E1;2,556105435E1;1,792023274E1;3,539947510E1;3,269999981E0;1,616999969E2;1,694909412E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,469130205E1;6,498765748E1;2,556107237E1;1,833292505E1;3,581219482E1;3,059999943E0;1,633999939E2;1,726332897E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,569222898E1;6,498763077E1;2,556109420E1;1,802210614E1;3,550140381E1;3,099999905E0;1,628999939E2;1,756346489E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,669384117E1;6,498760513E1;2,556111415E1;1,800859073E1;3,548791504E1;2,970000029E0;1,631999969E2;1,787253352E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,769473127E1;6,498757826E1;2,556113097E1;1,835878308E1;3,583813477E1;3,039999962E0;1,686000061E2;1,817871323E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,870317648E1;6,498755073E1;2,556112968E1;1,882274668E1;3,630212402E1;3,059999943E0;1,841000061E2;1,850519527E-1;3,790092468E0;2,500000000E0;4,100000000E1
8,969099424E1;6,498752247E1;2,556111084E1;1,859561081E1;3,607501221E1;3,029999971E0;1,971999969E2;1,883614800E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,069550820E1;6,498750130E1;2,556106136E1;1,861738695E1;3,609680176E1;3,049999952E0;2,253000031E2;1,919526035E-1;3,790092468E0;2,500000000E0;4,100000000E1
9,169768632E1;6,498749116E1;2,556098884E1;1,913032632E1;3,660974121E1;3,049999952E0;2,468000031E2;1,956043125E-1;3,790092468E0;2,500000000E0;4,000000000E1
9,268960939E1;6,498748482E1;2,556091263E1;1,934737130E1;3,682678223E1;3,210000038E0;2,518999939E2;1,993996086E-1;3,790092468E0;2,500000000E0;4,000000000E1
