"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
5,460814836E1;6,498845738E1;2,556102819E1;3,685182378E0;2,116369629E1;1,700000018E-1;1,939999962E1;4,146809237E-1;1,440590191E1;2,519395638E1;1,100000000E1
5,560664852E1;6,498838877E1;2,556102515E1;-9,456940894E0;8,021636963E0;1,800000072E-1;1,939999962E1;4,315467444E-1;2,128042221E1;3,484572983E1;1,200000000E1
5,660805842E1;6,498833388E1;2,556069072E1;-2,342233390E0;1,513635254E1;0,000000000E0;NaN;4,474226589E-1;1,146755886E1;1,934263420E1;1,700000000E1
5,761150904E1;6,498847193E1;2,556060456E1;-3,988207079E1;-2,240362549E1;0,000000000E0;NaN;4,617530970E-1;1,249166012E1;2,280649757E1;1,500000000E1
5,806498336E1;6,498849660E1;2,556090374E1;-1,501267119E1;2,465789795E0;0,000000000E0;NaN;4,653102405E-1;1,345363712E1;2,436536980E1;1,000000000E1
5,906448815E1;6,498850638E1;2,556097578E1;-9,225836649E0;8,252624512E0;0,000000000E0;NaN;4,705294638E-1;1,118796921E1;1,982177925E1;1,400000000E1
6,006525810E1;6,498847170E1;2,556090097E1;-1,351895029E1;3,959533691E0;0,000000000E0;NaN;4,774931319E-1;9,817758560E0;1,720071411E1;1,400000000E1
6,106473831E1;6,498843347E1;2,556078365E1;-3,010127682E1;-1,262277222E1;0,000000000E0;NaN;4,780606475E-1;8,905979156E0;1,631248093E1;1,400000000E1
6,206556722E1;6,498843808E1;2,556078883E1;-3,175935423E1;-1,428085327E1;0,000000000E0;NaN;4,796844565E-1;8,670320511E0;1,594249439E1;1,400000000E1
6,306573815E1;6,498843976E1;2,556082314E1;-2,686769450E1;-9,389190674E0;0,000000000E0;NaN;4,804452697E-1;8,475305557E0;1,466680527E1;1,400000000E1
6,406521972E1;6,498843593E1;2,556080973E1;-2,753966291E1;-1,006115723E1;0,000000000E0;NaN;4,809773504E-1;8,160113335E0;1,390911579E1;1,500000000E1
6,506535388E1;6,498843632E1;2,556079845E1;-3,080965009E1;-1,333114624E1;0,000000000E0;NaN;4,825144467E-1;7,767427921E0;1,320988369E1;1,400000000E1
6,606566711E1;6,498842261E1;2,556080263E1;-2,997708292E1;-1,249856567E1;0,000000000E0;NaN;4,861169667E-1;8,172834396E0;1,282552242E1;1,400000000E1
6,706537690E1;6,498839818E1;2,556075230E1;-3,247560394E1;-1,499707031E1;0,000000000E0;NaN;4,866315299E-1;8,251951218E0;1,238697720E1;1,500000000E1
6,806571643E1;6,498839658E1;2,556076257E1;-3,416872201E1;-1,669018555E1;0,000000000E0;NaN;4,870662830E-1;8,378229141E0;1,190793228E1;1,600000000E1
6,906456784E1;6,498839506E1;2,556077109E1;-3,342678118E1;-1,594824219E1;0,000000000E0;NaN;4,874484780E-1;9,173105240E0;1,207289314E1;1,600000000E1
7,006484607E1;6,498839165E1;2,556077211E1;-3,150747299E1;-1,402893066E1;0,000000000E0;NaN;4,874985414E-1;8,564041138E0;1,282111168E1;1,500000000E1
7,106391815E1;6,498839206E1;2,556077167E1;-3,058596375E1;-1,310742188E1;0,000000000E0;NaN;4,876727185E-1;9,319343567E0;1,353373051E1;1,500000000E1
7,206552367E1;6,498839169E1;2,556077527E1;-2,977889670E1;-1,230035400E1;0,000000000E0;NaN;4,892638368E-1;1,016345215E1;1,440445518E1;1,500000000E1
7,306589773E1;6,498840272E1;2,556079683E1;-2,716798827E1;-9,689453125E0;0,000000000E0;NaN;4,911728837E-1;1,033157063E1;1,512774754E1;1,400000000E1
7,406439304E1;6,498838835E1;2,556077461E1;-2,839657553E1;-1,091802979E1;0,000000000E0;NaN;4,914826356E-1;1,031299400E1;1,561243153E1;1,300000000E1
7,506541127E1;6,498838557E1;2,556077419E1;-2,944153047E1;-1,196298218E1;0,000000000E0;NaN;4,921606880E-1;1,052400398E1;1,590565491E1;1,200000000E1
