"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
8,380811520E-1;1,108415425E-1;-1,730260849E-1;-1,589870453E-2;2,060986230E-1
8,430850580E-1;1,023132503E-1;-1,892869473E-1;-5,782318115E-2;2,228027600E-1
8,480890170E-1;1,175526157E-1;-1,925635338E-1;-4,499244690E-2;2,300514123E-1
8,530741210E-1;1,515167654E-1;-1,810083389E-1;-4,665565491E-2;2,406202383E-1
8,580771420E-1;1,066121235E-1;-1,901621819E-1;-1,173820496E-1;2,476011831E-1
8,630801620E-1;1,377309263E-1;-1,886112690E-1;-1,402854919E-1;2,724408892E-1
8,680831310E-1;1,493343413E-1;-1,670978069E-1;-1,228494644E-1;2,555668474E-1
8,731336520E-1;1,888210922E-1;-1,829562187E-1;-3,449535370E-2;2,651722313E-1
8,781389640E-1;1,560510844E-1;-1,958267689E-1;2,924633026E-2;2,521019877E-1
8,831443810E-1;1,109799445E-1;-1,989233494E-1;8,765983582E-2;2,440723127E-1
8,881497460E-1;1,323447227E-1;-1,782546043E-1;1,218366623E-1;2,532469188E-1
8,931289120E-1;1,865774989E-1;-1,436862946E-1;1,367740631E-1;2,723307891E-1
8,981329750E-1;2,165651619E-1;-1,550514698E-1;1,232128143E-1;2,934669066E-1
9,031370370E-1;2,559883595E-1;-1,860506535E-1;6,243991852E-2;3,225579471E-1
9,081411000E-1;2,859307528E-1;-2,199201584E-1;-7,629394531E-6;3,607232616E-1
9,131508920E-1;2,594762444E-1;-2,210264206E-1;-6,410503387E-2;3,468285677E-1
9,181552670E-1;2,395546138E-1;-1,705887318E-1;-8,471107483E-2;3,060439423E-1
9,231595890E-1;2,522057891E-1;-1,400749683E-1;-1,026296616E-1;3,062051669E-1
9,281639640E-1;2,067819685E-1;-1,695544720E-1;-1,796865463E-1;3,221719361E-1
9,331663080E-1;1,842351258E-1;-2,060146332E-1;-2,038021088E-1;3,433946857E-1
9,381705790E-1;1,599517167E-1;-2,183654308E-1;-1,184501648E-1;2,954631188E-1
9,431747980E-1;9,602030367E-2;-1,781990528E-1;2,792453766E-2;2,043393769E-1
9,481790690E-1;1,067099646E-1;-1,192386150E-1;1,896820068E-1;2,481614949E-1
9,531829750E-1;1,574007124E-1;-7,017254829E-2;3,049306870E-1;3,502597531E-1
9,581872460E-1;1,921251416E-1;-1,047096252E-1;3,075704575E-1;3,774596163E-1
9,631914640E-1;2,247134894E-1;-1,579580307E-1;2,650375366E-1;3,816959361E-1
9,681956830E-1;2,717376053E-1;-2,228076458E-1;2,418918610E-1;4,266101799E-1
9,731825060E-1;3,521259725E-1;-2,516667843E-1;1,952209473E-1;4,748053170E-1
9,781858390E-1;3,855498135E-1;-2,474777699E-1;9,441089630E-2;4,677684498E-1
9,831891730E-1;3,877559900E-1;-3,056080341E-1;2,070903778E-2;4,941455682E-1
9,881925580E-1;4,049466848E-1;-3,328704834E-1;-6,887531281E-2;5,287044401E-1
9,932067770E-1;3,753133416E-1;-3,128280640E-1;-1,433448792E-1;5,091848941E-1
9,982106830E-1;3,485899866E-1;-3,312019110E-1;-2,551355362E-1;5,443379707E-1
1,003214589E0;3,645509481E-1;-3,257651329E-1;-3,564605713E-1;6,050491339E-1
1,008218496E0;3,110181391E-1;-3,248683214E-1;-4,189853668E-1;6,146710069E-1
1,013225267E0;2,482105196E-1;-3,138182163E-1;-5,381488800E-1;6,705926871E-1
1,018229329E0;2,404761761E-1;-2,446286678E-1;-5,544557571E-1;6,519916894E-1
1,023233392E0;2,549356222E-1;-1,768977642E-1;-5,187196732E-1;6,044461016E-1
1,028237454E0;2,799527943E-1;-1,462492943E-1;-5,097713470E-1;5,996909616E-1
1,033244746E0;3,133288026E-1;-1,714565754E-1;-4,513559341E-1;5,755818578E-1
1,038248964E0;2,886538506E-1;-1,645927429E-1;-3,675394058E-1;4,954765699E-1
1,043253183E0;1,993512511E-1;-1,285512447E-1;-2,204656601E-1;3,238386190E-1
1,048257402E0;1,928783953E-1;-1,018092632E-1;-8,424949646E-2;2,338058577E-1
1,053264121E0;1,895861030E-1;-7,071352005E-2;2,711486816E-2;2,041531494E-1
1,058268496E0;9,895101935E-2;-2,395558357E-2;1,543455124E-1;1,848991926E-1
1,063272819E0;2,377033234E-4;-7,073640823E-3;2,759943008E-1;2,760850358E-1
1,068277142E0;-7,352402061E-2;3,721904755E-2;3,232126236E-1;3,335527532E-1
1,073285892E0;-1,157676727E-1;4,920816422E-2;3,702888489E-1;3,910721533E-1
1,078290475E0;-6,264078617E-2;6,246685982E-2;3,459472656E-1;3,570791050E-1
1,083295006E0;-1,194268465E-3;5,095243454E-2;3,244037628E-1;3,283829749E-1
1,088299589E0;3,947380185E-2;-4,194211960E-2;2,533321381E-1;2,597970258E-1
1,093309642E0;9,761574864E-2;-9,901452065E-2;1,449909210E-1;2,008857309E-1
1,098314485E0;1,380906552E-1;-1,773698330E-1;5,190086365E-2;2,307006423E-1
1,103319329E0;1,595393121E-1;-1,625311375E-1;-6,414508820E-2;2,366088652E-1
1,108324173E0;2,030021548E-1;-1,929812431E-1;-5,569458008E-2;2,855757716E-1
